index,Plate Number,Sample1,Sample2,Sample3,Sample4,Station1_status,Station2_status,Station3_status,Station4_status,Station5_status,Station6_status,total_time,time_in_step,time_target,start_time,end_time,add_time,cycle_time,method,staff_level,capacity_level
0.0,1.0,0.0,2.0,0.0,38.0,3.0,3.0,3.0,3.0,3.0,3.0,6680.0,5.0,15.0,0.0,435.0,0.0,1200,Fixed (20),0,0
0.0,2.0,0.0,0.0,38.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,6680.0,15.0,15.0,440.0,875.0,0.0,1200,Fixed (20),0,0
0.0,3.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,6680.0,15.0,15.0,0.0,455.0,0.0,1200,Fixed (20),0,0
0.0,4.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,6680.0,10.0,15.0,30.0,475.0,0.0,1200,Fixed (20),0,0
0.0,5.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,6680.0,5.0,15.0,30.0,495.0,0.0,1200,Fixed (20),0,0
0.0,6.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,6680.0,5.0,15.0,60.0,615.0,0.0,1200,Fixed (20),0,0
0.0,7.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,6680.0,15.0,15.0,60.0,635.0,0.0,1200,Fixed (20),0,0
0.0,8.0,0.0,0.0,0.0,21.0,3.0,3.0,3.0,3.0,3.0,3.0,6680.0,10.0,15.0,90.0,655.0,0.0,1200,Fixed (20),0,0
0.0,9.0,0.0,9.0,0.0,31.0,3.0,3.0,3.0,3.0,3.0,3.0,5240.0,5.0,15.0,1440.0,1875.0,1440.0,1200,Fixed (20),0,0
0.0,10.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,5240.0,15.0,15.0,1880.0,2315.0,1440.0,1200,Fixed (20),0,0
0.0,11.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,5240.0,10.0,15.0,1880.0,2335.0,1440.0,1200,Fixed (20),0,0
0.0,12.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,5240.0,5.0,15.0,1910.0,2355.0,1440.0,1200,Fixed (20),0,0
0.0,13.0,0.0,0.0,34.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,5240.0,15.0,15.0,1910.0,2375.0,1440.0,1200,Fixed (20),0,0
0.0,14.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,5240.0,15.0,15.0,1440.0,1895.0,1440.0,1200,Fixed (20),0,0
0.0,15.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,5240.0,10.0,15.0,1470.0,1915.0,1440.0,1200,Fixed (20),0,0
0.0,16.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,5240.0,5.0,15.0,1470.0,1935.0,1440.0,1200,Fixed (20),0,0
0.0,17.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,5240.0,5.0,15.0,1500.0,2055.0,1440.0,1200,Fixed (20),0,0
0.0,18.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,5240.0,15.0,15.0,1500.0,2075.0,1440.0,1200,Fixed (20),0,0
0.0,19.0,0.0,0.0,0.0,36.0,3.0,3.0,3.0,3.0,3.0,3.0,5240.0,10.0,15.0,1530.0,2095.0,1440.0,1200,Fixed (20),0,0
0.0,20.0,0.0,26.0,0.0,14.0,3.0,3.0,3.0,3.0,3.0,3.0,3800.0,5.0,15.0,2880.0,3315.0,2880.0,1200,Fixed (20),0,0
0.0,21.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3800.0,15.0,15.0,3320.0,3755.0,2880.0,1200,Fixed (20),0,0
0.0,22.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3800.0,10.0,15.0,3320.0,3775.0,2880.0,1200,Fixed (20),0,0
0.0,23.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3800.0,5.0,15.0,3350.0,3795.0,2880.0,1200,Fixed (20),0,0
0.0,24.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3800.0,15.0,15.0,3350.0,3815.0,2880.0,1200,Fixed (20),0,0
0.0,25.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3800.0,15.0,15.0,3380.0,3935.0,2880.0,1200,Fixed (20),0,0
0.0,26.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3800.0,10.0,15.0,3380.0,3955.0,2880.0,1200,Fixed (20),0,0
0.0,27.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3800.0,5.0,15.0,3410.0,3975.0,2880.0,1200,Fixed (20),0,0
0.0,28.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3800.0,15.0,15.0,3410.0,3995.0,2880.0,1200,Fixed (20),0,0
0.0,29.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3800.0,15.0,15.0,3440.0,4115.0,2880.0,1200,Fixed (20),0,0
0.0,30.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3800.0,10.0,15.0,3440.0,4135.0,2880.0,1200,Fixed (20),0,0
0.0,31.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3800.0,5.0,15.0,3470.0,4155.0,2880.0,1200,Fixed (20),0,0
0.0,32.0,0.0,0.0,36.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3800.0,15.0,15.0,3470.0,4175.0,2880.0,1200,Fixed (20),0,0
0.0,33.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,3800.0,15.0,15.0,2880.0,3335.0,2880.0,1200,Fixed (20),0,0
0.0,34.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,3800.0,10.0,15.0,2910.0,3355.0,2880.0,1200,Fixed (20),0,0
0.0,35.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,3800.0,5.0,15.0,2910.0,3375.0,2880.0,1200,Fixed (20),0,0
0.0,36.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,3800.0,5.0,15.0,2940.0,3495.0,2880.0,1200,Fixed (20),0,0
0.0,37.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,3800.0,15.0,15.0,2940.0,3515.0,2880.0,1200,Fixed (20),0,0
0.0,38.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,3800.0,10.0,15.0,2970.0,3535.0,2880.0,1200,Fixed (20),0,0
0.0,39.0,0.0,0.0,0.0,35.0,3.0,3.0,3.0,3.0,3.0,3.0,3800.0,5.0,15.0,2970.0,3555.0,2880.0,1200,Fixed (20),0,0
0.0,40.0,0.0,15.0,0.0,25.0,3.0,3.0,3.0,3.0,3.0,3.0,2360.0,5.0,15.0,4320.0,4755.0,4320.0,1200,Fixed (20),0,0
0.0,41.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,2360.0,15.0,15.0,4760.0,5195.0,4320.0,1200,Fixed (20),0,0
0.0,42.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,2360.0,10.0,15.0,4760.0,5215.0,4320.0,1200,Fixed (20),0,0
0.0,43.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,2360.0,5.0,15.0,4790.0,5235.0,4320.0,1200,Fixed (20),0,0
0.0,44.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,2360.0,15.0,15.0,4790.0,5255.0,4320.0,1200,Fixed (20),0,0
0.0,45.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,2360.0,15.0,15.0,4820.0,5375.0,4320.0,1200,Fixed (20),0,0
0.0,46.0,0.0,0.0,40.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,2360.0,10.0,15.0,4820.0,5395.0,4320.0,1200,Fixed (20),0,0
0.0,47.0,0.0,0.0,17.0,23.0,3.0,3.0,3.0,3.0,3.0,3.0,2360.0,5.0,15.0,4850.0,5415.0,4320.0,1200,Fixed (20),0,0
0.0,48.0,0.0,0.0,0.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,2360.0,15.0,15.0,4320.0,4775.0,4320.0,1200,Fixed (20),0,0
