"","date","sample_source","total_samp","prev","Hist_prev","pos_count","neg_count"
"1","9/1/2021",15,440,0.029545455,0.32,15,425
"2","8/10/2020",5,371,0.021563342,0.32,10,361
"3","8/14/2020",5,346,0.005780347,0.021563342,2,344
"4","8/15/2020",5,615,0,0.013671845,0,615
"5","8/16/2020",5,917,0.002181025,0.009114563,2,915
"6","8/17/2020",5,719,0.001390821,0.007381179,1,718
"7","8/18/2020",5,1084,0.007380074,0.006183107,22,1062
"8","8/19/2020",5,749,0.002670227,0.006382601,3,746
"9","8/20/2020",5,1164,0.005154639,0.005852262,12,1152
"10","8/21/2020",5,1046,0.008604207,0.005765059,13,1033
"11","8/22/2020",5,891,0.008978676,0.00608052,26,865
"12","8/23/2020",5,662,0.001510574,0.006370336,1,661
"13","8/24/2020",5,280,0.021428571,0.005928539,7,273
"14","8/25/2020",5,332,0.027108434,0.007220209,16,316
"15","8/26/2020",5,80,0.1,0.008750072,11,69
"16","8/27/2020",5,83,0.060240964,0.015267924,7,76
"17","8/28/2020",5,111,0.108108108,0.018266127,14,97
"18","9/1/2020",5,174,0.091954023,0.022476471,19,155
"19","9/2/2020",5,67,0.089552239,0.026336335,12,55
"20","9/3/2020",5,129,0.062015504,0.029663488,8,121
"21","9/8/2020",5,540,0.081481481,0.053601037,57,483
"22","9/9/2020",5,255,0.070588235,0.05486833,19,236
"23","9/10/2020",5,128,0.078125,0.055551804,12,116
"24","9/11/2020",5,106,0.066037736,0.056492354,8,98
"25","9/14/2020",5,106,0.009433962,0.056874169,1,105
"26","9/15/2020",5,105,0.00952381,0.055049546,4,101
"27","9/16/2020",5,88,0.022727273,0.053363407,7,81
"28","9/17/2020",5,250,0.012,0.05226926,9,241
"29","9/21/2020",5,352,0.034090909,0.050880665,14,338
"30","9/22/2020",5,148,0.013513514,0.050321006,6,142
"31","9/23/2020",5,66,0.060606061,0.049133668,7,59
"32","9/24/2020",5,147,0.020408163,0.04949218,4,143
"33","9/25/2020",5,89,0.033707865,0.048610846,6,83
"34","9/28/2020",5,207,0.06763285,0.048172523,19,188
"35","9/29/2020",5,255,0.015686275,0.048728532,9,246
"36","9/30/2020",5,278,0.007194245,0.047810692,4,274
"37","10/1/2020",5,245,0.020408163,0.04671295,11,234
"38","10/2/2020",5,194,0.036082474,0.046020719,11,183
"39","10/5/2020",5,338,0.017751479,0.045765892,6,332
"40","10/6/2020",5,488,0.014344262,0.045065532,15,473
"41","10/7/2020",5,374,0.021390374,0.044316232,16,358
"42","10/8/2020",5,198,0.03030303,0.043770379,9,189
"43","10/9/2020",5,182,0.038461538,0.043457185,11,171
"44","10/12/2020",5,504,0.007936508,0.043343647,7,497
"45","10/14/2020",5,363,0.005509642,0.042556822,5,358
"46","10/15/2020",5,194,0.025773196,0.041751448,6,188
"47","10/16/2020",5,175,0.011428571,0.041411486,6,169
"48","10/19/2020",5,337,0.026706231,0.040786841,13,324
"49","10/20/2020",5,488,0.012295082,0.040499482,10,478
"50","10/21/2020",5,336,0.00297619,0.039935394,1,335
"51","10/22/2020",5,153,0.019607843,0.039210704,3,150
"52","10/23/2020",5,263,0.015209125,0.038833726,11,252
"53","10/27/2020",5,182,0,0.03767709,2,180
